
running 1 test
test test_encode_decode_roundtrip ... FAILED

failures:

---- test_encode_decode_roundtrip stdout ----
Compressing Intra Cube at t=0, start_x=0, start_y=0
[ENCODE] [0][15][12] Writing EVENT d=10, t=2500, d_res=0, t_res=2500
[ENCODE] [0][15][13] Writing EVENT d=10, t=2523, d_res=0, t_res=2523
[ENCODE] [0][15][14] Writing EVENT d=10, t=2520, d_res=0, t_res=2520
[ENCODE] [0][15][15] Writing EVENT d=10, t=2545, d_res=0, t_res=2545
Compressing Intra Cube at t=0, start_x=16, start_y=0
[ENCODE] [0][0][0] Writing EVENT d=9, t=1464, d_res=0, t_res=1464
[ENCODE] [0][0][1] Writing EVENT d=9, t=1434, d_res=0, t_res=1434
[ENCODE] [0][0][2] Writing EVENT d=9, t=1416, d_res=0, t_res=1416
[ENCODE] [0][0][3] Writing EVENT d=9, t=1416, d_res=0, t_res=1416
[ENCODE] [0][0][4] Writing EVENT d=9, t=1388, d_res=0, t_res=1388
[ENCODE] [0][0][5] Writing EVENT d=9, t=1374, d_res=0, t_res=1374
[ENCODE] [0][0][6] Writing EVENT d=9, t=1360, d_res=0, t_res=1360
[ENCODE] [0][0][7] Writing EVENT d=9, t=1360, d_res=0, t_res=1360
[ENCODE] [0][0][8] Writing EVENT d=9, t=1332, d_res=0, t_res=1332
[ENCODE] [0][0][9] Writing EVENT d=9, t=1318, d_res=0, t_res=1318
[ENCODE] [0][0][10] Writing EVENT d=9, t=1280, d_res=0, t_res=1280
[ENCODE] [0][0][11] Writing EVENT d=9, t=1290, d_res=0, t_res=1290
[ENCODE] [0][0][12] Writing EVENT d=10, t=2453, d_res=1, t_res=2453
[ENCODE] [0][0][13] Writing EVENT d=10, t=2440, d_res=0, t_res=2440
[ENCODE] [0][0][14] Writing EVENT d=10, t=2442, d_res=0, t_res=2442
[ENCODE] [0][0][15] Writing EVENT d=10, t=2458, d_res=0, t_res=2458
[ENCODE] [0][1][0] Writing EVENT d=9, t=1560, d_res=-1, t_res=1560
[ENCODE] [0][1][1] Writing EVENT d=9, t=1518, d_res=0, t_res=1518
[ENCODE] [0][1][2] Writing EVENT d=9, t=1434, d_res=0, t_res=1434
[ENCODE] [0][1][3] Writing EVENT d=9, t=1477, d_res=0, t_res=1477
[ENCODE] [0][1][4] Writing EVENT d=9, t=1466, d_res=0, t_res=1466
[ENCODE] [0][1][5] Writing EVENT d=9, t=1461, d_res=0, t_res=1461
[ENCODE] [0][1][6] Writing EVENT d=9, t=1423, d_res=0, t_res=1423
[ENCODE] [0][1][7] Writing EVENT d=9, t=1388, d_res=0, t_res=1388
[ENCODE] [0][1][8] Writing EVENT d=9, t=1483, d_res=0, t_res=1483
[ENCODE] [0][1][9] Writing EVENT d=9, t=1403, d_res=0, t_res=1403
[ENCODE] [0][1][10] Writing EVENT d=9, t=1374, d_res=0, t_res=1374
[ENCODE] [0][1][11] Writing EVENT d=9, t=1419, d_res=0, t_res=1419
[ENCODE] [0][1][12] Writing EVENT d=9, t=1378, d_res=0, t_res=1378
[ENCODE] [0][1][13] Writing EVENT d=9, t=1360, d_res=0, t_res=1360
[ENCODE] [0][1][14] Writing EVENT d=9, t=1448, d_res=0, t_res=1448
[ENCODE] [0][1][15] Writing EVENT d=9, t=1417, d_res=0, t_res=1417
[ENCODE] [0][2][0] Writing EVENT d=9, t=1551, d_res=0, t_res=1551
[ENCODE] [0][2][1] Writing EVENT d=9, t=1659, d_res=0, t_res=1659
[ENCODE] [0][2][2] Writing EVENT d=9, t=1655, d_res=0, t_res=1655
[ENCODE] [0][2][3] Writing EVENT d=9, t=1608, d_res=0, t_res=1608
[ENCODE] [0][2][4] Writing EVENT d=9, t=1515, d_res=0, t_res=1515
[ENCODE] [0][2][5] Writing EVENT d=9, t=1466, d_res=0, t_res=1466
[ENCODE] [0][2][6] Writing EVENT d=9, t=1500, d_res=0, t_res=1500
[ENCODE] [0][2][7] Writing EVENT d=9, t=1430, d_res=0, t_res=1430
[ENCODE] [0][2][8] Writing EVENT d=9, t=1518, d_res=0, t_res=1518
[ENCODE] [0][2][9] Writing EVENT d=9, t=1483, d_res=0, t_res=1483
[ENCODE] [0][2][10] Writing EVENT d=9, t=1360, d_res=0, t_res=1360
[ENCODE] [0][2][11] Writing EVENT d=9, t=1459, d_res=0, t_res=1459
[ENCODE] [0][2][12] Writing EVENT d=9, t=1437, d_res=0, t_res=1437
[ENCODE] [0][2][13] Writing EVENT d=9, t=1421, d_res=0, t_res=1421
[ENCODE] [0][2][14] Writing EVENT d=9, t=1557, d_res=0, t_res=1557
[ENCODE] [0][2][15] Writing EVENT d=9, t=1530, d_res=0, t_res=1530
[ENCODE] [0][3][0] Writing EVENT d=9, t=1673, d_res=0, t_res=1673
[ENCODE] [0][3][1] Writing EVENT d=9, t=1662, d_res=0, t_res=1662
[ENCODE] [0][3][2] Writing EVENT d=9, t=1670, d_res=0, t_res=1670
[ENCODE] [0][3][3] Writing EVENT d=9, t=1730, d_res=0, t_res=1730
